user_id,campaign_id,category,event_type,occurred_at
user-0009,115,Y tế,VIEW,2025-01-01T00:00:00+00:00
user-0041,869,Văn hóa,VIEW,2025-01-01T02:00:00+00:00
user-0235,169,Giáo dục,FOLLOW,2025-01-01T04:00:00+00:00
user-0096,348,Giáo dục,FOLLOW,2025-01-01T06:00:00+00:00
user-0078,542,Y tế,CONTRIBUTE,2025-01-01T08:00:00+00:00
user-0017,317,Giáo dục,CONTRIBUTE,2025-01-01T10:00:00+00:00
user-0144,246,Khởi nghiệp,VIEW,2025-01-01T12:00:00+00:00
user-0255,973,Khởi nghiệp,VIEW,2025-01-01T14:00:00+00:00
user-0258,712,Văn hóa,VIEW,2025-01-01T16:00:00+00:00
user-0079,522,Y tế,VIEW,2025-01-01T18:00:00+00:00
user-0149,744,Giáo dục,VIEW,2025-01-01T20:00:00+00:00
user-0264,244,Y tế,SEARCH,2025-01-01T22:00:00+00:00
user-0204,601,Môi trường,VIEW,2025-01-02T00:00:00+00:00
user-0076,396,Y tế,VIEW,2025-01-02T02:00:00+00:00
user-0294,275,Môi trường,VIEW,2025-01-02T04:00:00+00:00
user-0206,948,Văn hóa,CONTRIBUTE,2025-01-02T06:00:00+00:00
user-0108,119,Công nghệ,SEARCH,2025-01-02T08:00:00+00:00
user-0292,515,Y tế,VIEW,2025-01-02T10:00:00+00:00
user-0249,237,Y tế,VIEW,2025-01-02T12:00:00+00:00
user-0169,523,Văn hóa,VIEW,2025-01-02T14:00:00+00:00
user-0002,804,Y tế,SEARCH,2025-01-02T16:00:00+00:00
user-0035,462,Môi trường,SEARCH,2025-01-02T18:00:00+00:00
user-0116,189,Khởi nghiệp,FOLLOW,2025-01-02T20:00:00+00:00
user-0023,722,Công nghệ,FOLLOW,2025-01-02T22:00:00+00:00
user-0181,602,Giáo dục,VIEW,2025-01-03T00:00:00+00:00
user-0174,937,Môi trường,VIEW,2025-01-03T02:00:00+00:00
user-0006,993,Khởi nghiệp,VIEW,2025-01-03T04:00:00+00:00
user-0008,466,Môi trường,VIEW,2025-01-03T06:00:00+00:00
user-0072,597,Khởi nghiệp,FOLLOW,2025-01-03T08:00:00+00:00
user-0195,364,Giáo dục,SEARCH,2025-01-03T10:00:00+00:00
user-0130,948,Văn hóa,VIEW,2025-01-03T12:00:00+00:00
user-0179,64,Y tế,VIEW,2025-01-03T14:00:00+00:00
user-0269,555,Văn hóa,VIEW,2025-01-03T16:00:00+00:00
user-0296,343,Khởi nghiệp,FOLLOW,2025-01-03T18:00:00+00:00
user-0016,913,Y tế,VIEW,2025-01-03T20:00:00+00:00
user-0046,859,Môi trường,VIEW,2025-01-03T22:00:00+00:00
user-0133,577,Giáo dục,SEARCH,2025-01-04T00:00:00+00:00
user-0124,39,Văn hóa,FOLLOW,2025-01-04T02:00:00+00:00
user-0279,532,Văn hóa,VIEW,2025-01-04T04:00:00+00:00
user-0227,580,Giáo dục,VIEW,2025-01-04T06:00:00+00:00
user-0177,934,Văn hóa,SEARCH,2025-01-04T08:00:00+00:00
user-0121,550,Khởi nghiệp,SEARCH,2025-01-04T10:00:00+00:00
user-0109,884,Công nghệ,VIEW,2025-01-04T12:00:00+00:00
user-0016,707,Giáo dục,VIEW,2025-01-04T14:00:00+00:00
