campaign_id,category,category_id,goal_amount,duration_days,profile_score,content_length,image_count,has_video,story_word_count,owner_campaign_count,owner_credential_approved,has_budget_report,early_views,early_backers,success,launch_seq
1,Giáo dục,2,77877416.81549087,67,68.09434159508862,6140,5,0.0,1101,1,0.0,1.0,310,15,0,0
2,Y tế,3,63554996.42342223,116,41.20031787519009,16230,3,0.0,1800,1,0.0,0.0,293,14,0,1
3,Công nghệ,5,180692876.3528466,14,77.00902391612914,19169,4,1.0,4193,0,0.0,0.0,293,5,1,2
4,Khởi nghiệp,1,151980334.86160284,99,80.81129432782427,17030,7,0.0,4487,0,0.0,1.0,278,6,0,3
5,Môi trường,0,31498422.707682393,68,22.979296226923275,4909,5,0.0,1875,4,0.0,0.0,309,9,0,4
6,Giáo dục,2,347593531.3910518,89,35.95640986275364,17059,6,1.0,881,1,1.0,1.0,276,7,0,5
7,Công nghệ,5,109399311.37998943,18,64.55680806334571,6537,7,1.0,362,0,0.0,0.0,302,10,1,6
8,Văn hóa,4,41641817.95189243,106,55.675148153128355,17400,4,1.0,1107,1,1.0,0.0,289,11,1,7
9,Môi trường,0,370122617.97575295,8,61.66397684991422,19832,7,1.0,246,0,0.0,0.0,310,12,0,8
10,Môi trường,0,216779614.27598682,110,44.9391214485284,14503,6,1.0,3405,0,1.0,1.0,320,4,0,9
11,Văn hóa,4,35987604.13886782,81,79.58795949725658,19124,1,0.0,3285,3,1.0,1.0,320,8,1,10
12,Văn hóa,4,500000000.0,45,77.55583870857896,3276,9,0.0,3956,1,0.0,1.0,315,9,0,11
13,Y tế,3,223709188.3278569,7,63.320613951224324,13269,3,1.0,1795,4,1.0,1.0,288,7,1,12
14,Môi trường,0,118486986.05124818,76,84.54482413936066,1512,0,1.0,4194,1,1.0,1.0,326,5,1,13
15,Khởi nghiệp,1,500000000.0,16,71.35018684504091,13218,2,1.0,1014,1,1.0,1.0,310,9,0,14
16,Công nghệ,5,139187554.51367193,76,44.81415074233524,7144,2,0.0,1309,2,0.0,0.0,314,10,1,15
17,Môi trường,0,116490592.73468755,95,69.37501568164998,19413,5,0.0,4596,0,0.0,1.0,305,8,1,16
18,Khởi nghiệp,1,63892650.03330307,37,42.82234798342002,10153,4,0.0,4434,2,1.0,1.0,284,7,1,17
19,Giáo dục,2,207939538.96168828,34,79.56900602614544,15367,4,0.0,3074,1,0.0,1.0,324,6,1,18
20,Văn hóa,4,188154279.32362065,32,61.00148178027494,6401,7,0.0,3125,4,1.0,0.0,307,10,1,19
21,Văn hóa,4,121320472.19177343,32,58.30275272909479,1959,6,1.0,3563,3,0.0,0.0,334,12,1,20
22,Y tế,3,56486541.47875542,19,48.38140911192117,14973,6,0.0,4151,0,1.0,1.0,295,9,0,21
23,Giáo dục,2,135357957.1129688,35,86.4508267734806,4823,6,0.0,1310,3,0.0,0.0,335,6,1,22
24,Giáo dục,2,111964358.79002653,82,58.90941035862396,14587,7,0.0,528,1,0.0,0.0,278,11,0,23
25,Môi trường,0,33706437.37810937,41,53.433443556737856,9560,0,0.0,1088,0,1.0,1.0,313,9,1,24
26,Khởi nghiệp,1,29555436.648837477,96,54.95732899023541,19452,4,1.0,1913,2,1.0,0.0,313,8,0,25
27,Khởi nghiệp,1,204667180.87716228,100,72.64618371106698,7375,0,0.0,1331,1,1.0,0.0,290,9,0,26
28,Môi trường,0,10101617.33026214,93,69.30888128728157,8311,5,0.0,2719,4,1.0,0.0,294,7,1,27
29,Văn hóa,4,145420485.0386052,68,70.25465223191976,14940,5,0.0,862,2,0.0,0.0,290,5,0,28
30,Giáo dục,2,75967873.75514482,43,70.61642006015765,15821,8,0.0,2969,2,0.0,1.0,314,3,0,29
31,Y tế,3,414603946.4178893,113,100.0,2952,9,0.0,3610,3,0.0,1.0,301,8,0,30
32,Khởi nghiệp,1,74865610.28324106,30,53.871699672307685,14953,6,1.0,675,3,1.0,1.0,329,5,1,31
33,Y tế,3,223855207.01035064,59,51.755145418569256,10083,3,1.0,1578,2,0.0,1.0,286,9,1,32
34,Môi trường,0,82057587.95115544,58,45.724545435042444,19780,6,0.0,2785,3,1.0,1.0,292,13,1,33
35,Văn hóa,4,133293063.33685602,91,74.31958845150992,12805,3,0.0,517,2,0.0,0.0,290,13,0,34
36,Văn hóa,4,240924630.10148802,69,84.57944585441783,15585,5,0.0,3394,1,0.0,1.0,260,3,0,35
37,Khởi nghiệp,1,77096779.67412433,98,59.7210508469025,7206,8,0.0,3817,3,0.0,0.0,313,6,1,36
38,Khởi nghiệp,1,308344166.3419758,111,45.19687046074944,6029,3,0.0,1935,1,0.0,0.0,311,8,0,37
39,Văn hóa,4,46547647.192574196,51,45.51037568617521,15808,7,1.0,243,1,0.0,1.0,303,11,1,38
40,Khởi nghiệp,1,158277946.48052302,106,75.01185575649401,797,7,0.0,2603,4,1.0,1.0,341,6,1,39
41,Khởi nghiệp,1,287435123.8743976,26,76.86508342406884,11818,2,1.0,4371,4,0.0,0.0,309,6,1,40
42,Giáo dục,2,223972899.292983,111,72.8630853661039,19379,8,0.0,1604,1,1.0,1.0,295,13,1,41
43,Công nghệ,5,500000000.0,27,48.689805854226115,19827,7,1.0,4276,0,1.0,0.0,311,10,0,42
44,Giáo dục,2,57929229.8536956,103,66.6432264613344,14463,5,0.0,4378,4,1.0,0.0,311,7,1,43
45,Khởi nghiệp,1,32275152.22610214,51,64.33371618281457,10197,3,0.0,1547,2,1.0,0.0,305,9,1,44
46,Y tế,3,46519477.179307036,116,66.37377193458026,16345,2,0.0,3076,2,0.0,0.0,311,9,1,45
47,Giáo dục,2,224059105.35847482,21,79.4285755589638,785,3,1.0,402,1,0.0,0.0,296,9,0,46
48,Y tế,3,192004004.69402412,60,66.47191097549364,15968,7,0.0,2846,2,0.0,0.0,303,9,0,47
49,Giáo dục,2,131845827.79162315,109,75.57827126143789,4204,2,0.0,4421,1,1.0,0.0,283,16,0,48
50,Y tế,3,41168781.78134394,12,63.35158138977783,14847,6,0.0,4732,0,1.0,0.0,291,8,0,49
51,Giáo dục,2,247897008.27586997,37,67.78238797379969,7286,1,0.0,1158,1,0.0,1.0,332,5,0,50
52,Giáo dục,2,37375667.95540649,16,74.6257645167708,15153,4,0.0,3391,2,0.0,1.0,301,7,1,51
53,Giáo dục,2,359779572.49499375,43,32.85688360288667,12264,5,0.0,516,1,1.0,1.0,308,6,1,52
54,Giáo dục,2,500000000.0,51,55.60657567285397,18624,12,0.0,1543,3,1.0,0.0,274,6,1,53
55,Công nghệ,5,169460189.88145664,77,52.592546914144094,15854,1,0.0,4209,3,1.0,1.0,340,6,1,54
56,Khởi nghiệp,1,208188136.00476602,36,49.22244303513316,18325,9,1.0,3280,3,1.0,1.0,304,10,1,55
57,Văn hóa,4,74908896.48083852,25,56.49715497546632,3449,5,1.0,2081,1,1.0,0.0,259,10,1,56
58,Văn hóa,4,21429892.368476044,26,91.89882622468792,7894,6,0.0,4815,2,1.0,0.0,313,9,1,57
59,Y tế,3,67485046.98278785,113,44.68337768613513,9029,5,0.0,3841,1,0.0,0.0,282,8,0,58
60,Khởi nghiệp,1,42361458.99920447,115,81.36556709182962,1103,6,0.0,313,0,0.0,0.0,302,10,1,59
61,Giáo dục,2,30260253.763882715,32,28.342604567683907,944,5,0.0,583,2,1.0,0.0,298,7,0,60
62,Công nghệ,5,500000000.0,29,55.302299400284504,1254,9,0.0,3207,1,1.0,0.0,313,11,0,61
63,Khởi nghiệp,1,155043982.41133896,13,65.25506130210012,15460,4,0.0,4408,5,0.0,0.0,286,6,0,62
64,Y tế,3,171604540.0066359,116,73.72444662718556,9209,8,0.0,952,4,1.0,1.0,310,12,1,63
65,Văn hóa,4,89203314.33336118,87,76.2245315958571,15158,3,1.0,2783,2,0.0,0.0,288,5,1,64
66,Y tế,3,101520618.28998433,93,77.8669447039985,16782,5,0.0,4119,2,1.0,0.0,305,11,1,65
67,Môi trường,0,299110356.3753748,40,55.02549855503125,1204,2,1.0,4339,1,0.0,1.0,280,10,0,66
68,Y tế,3,116020764.48583663,80,52.752964146708656,17028,6,0.0,3275,0,1.0,0.0,287,8,1,67
69,Khởi nghiệp,1,198075581.61004466,13,79.15951762514308,4900,9,0.0,4999,0,1.0,0.0,295,10,1,68
70,Công nghệ,5,99313881.92180178,84,58.173913502367704,8385,5,0.0,4697,0,0.0,0.0,311,4,0,69
71,Giáo dục,2,86439452.3353211,73,36.48627353324156,19277,4,1.0,4203,1,0.0,0.0,284,9,0,70
72,Giáo dục,2,31434970.541613128,44,39.33425571993038,6381,2,1.0,3413,0,1.0,0.0,306,12,0,71
73,Công nghệ,5,18276714.771631386,87,43.61095427996777,18827,4,0.0,4929,0,0.0,0.0,272,9,0,72
74,Giáo dục,2,93317311.38402526,80,71.94321488107528,10378,0,0.0,282,1,0.0,0.0,315,8,0,73
75,Khởi nghiệp,1,126237026.11498713,57,64.8485147214113,760,2,0.0,629,1,1.0,1.0,297,4,1,74
76,Công nghệ,5,35257064.02883347,28,75.80970708135537,16734,6,0.0,2649,0,0.0,1.0,300,9,0,75
77,Y tế,3,115785381.76495135,9,53.45494707326932,1364,9,0.0,3420,1,0.0,0.0,305,6,0,76
78,Y tế,3,125908364.5483938,113,65.17079382153429,12911,13,0.0,4537,4,0.0,0.0,286,6,1,77
79,Môi trường,0,15429508.869438952,39,74.51180787934673,9438,3,0.0,3456,2,1.0,0.0,304,9,0,78
80,Giáo dục,2,50155140.694740094,41,55.813069205595234,3226,9,1.0,1315,0,0.0,1.0,347,8,1,79
81,Giáo dục,2,176159553.9828315,84,71.13550475114823,10534,6,0.0,4561,1,0.0,1.0,328,6,0,80
82,Khởi nghiệp,1,172810433.7356347,36,48.761481178666976,7563,5,0.0,597,1,0.0,0.0,312,8,0,81
83,Y tế,3,39984755.59931592,49,54.73892306869857,2421,6,0.0,655,0,0.0,0.0,312,8,1,82
84,Khởi nghiệp,1,139075241.16309044,88,54.365242120033415,11330,5,0.0,3655,0,0.0,0.0,315,8,1,83
85,Giáo dục,2,316010773.426685,74,38.08320708821921,1355,5,0.0,4824,3,0.0,1.0,321,8,0,84
86,Văn hóa,4,250312153.52128196,81,71.73944961571164,10996,4,1.0,2612,1,0.0,1.0,308,9,1,85
87,Văn hóa,4,109285961.22813158,7,52.611953195945524,4907,1,1.0,847,0,0.0,0.0,295,15,0,86
